frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,ip.proto,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,ip.len,tcp.window_size_value,tcp.analysis.ack_rtt,tcp.analysis.initial_rtt,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,frame.time_epoch
211,10.0.0.134,10.0.0.134,197,0,60,6,False,False,False,40,512,,,,,1722052000.008637891
212,10.0.0.134,10.0.0.134,198,0,60,6,False,False,False,40,512,,,,,1722052001.008848293
213,10.0.0.134,10.0.0.134,199,0,60,6,False,False,False,40,512,,,,,1722052002.009755528
214,10.0.0.134,10.0.0.134,200,0,60,6,False,False,False,40,512,,,,,1722052003.010370580
215,10.0.0.134,10.0.0.134,201,0,60,6,False,False,False,40,512,,,,,1722052004.011757097
216,10.0.0.134,10.0.0.134,202,0,60,6,False,False,False,40,512,,,,,1722052005.012708271
217,10.0.0.134,10.0.0.134,203,0,60,6,False,False,False,40,512,,,,,1722052006.013810963
218,10.0.0.134,10.0.0.134,204,0,60,6,False,False,False,40,512,,,,,1722052007.015206379
219,10.0.0.134,10.0.0.134,205,0,60,6,False,False,False,40,512,,,,,1722052008.016668570
220,10.0.0.134,10.0.0.134,206,0,60,6,False,False,False,40,512,,,,,1722052009.017724775
221,10.0.0.134,10.0.0.134,207,0,60,6,False,False,False,40,512,,,,,1722052010.018707606
222,10.0.0.134,10.0.0.134,208,0,60,6,False,False,False,40,512,,,,,1722052011.019136872
223,10.0.0.134,10.0.0.134,209,0,60,6,False,False,False,40,512,,,,,1722052012.019861469
224,10.0.0.134,10.0.0.134,210,0,60,6,False,False,False,40,512,,,,,1722052013.020416108
225,10.0.0.134,10.0.0.134,211,0,60,6,False,False,False,40,512,,,,,1722052014.020827814
226,10.0.0.134,10.0.0.134,212,0,60,6,False,False,False,40,512,,,,,1722052015.022138384
227,10.0.0.134,10.0.0.134,213,0,60,6,False,False,False,40,512,,,,,1722052016.022474038
228,10.0.0.134,10.0.0.134,214,0,60,6,False,False,False,40,512,,,,,1722052017.023286551
229,10.0.0.134,10.0.0.134,215,0,60,6,False,False,False,40,512,,,,,1722052018.023756990
230,10.0.0.134,10.0.0.134,216,0,60,6,False,False,False,40,512,,,,,1722052019.024571762
231,10.0.0.134,10.0.0.134,217,0,60,6,False,False,False,40,512,,,,,1722052020.036009319
232,10.0.0.134,10.0.0.134,218,0,60,6,False,False,False,40,512,,,,,1722052021.036776167
233,10.0.0.134,10.0.0.134,219,0,60,6,False,False,False,40,512,,,,,1722052022.037356603
234,10.0.0.134,10.0.0.134,220,0,60,6,False,False,False,40,512,,,,,1722052023.038046208
235,10.0.0.134,10.0.0.134,221,0,60,6,False,False,False,40,512,,,,,1722052024.039680185
236,10.0.0.134,10.0.0.134,222,0,60,6,False,False,False,40,512,,,,,1722052025.040636518
237,10.0.0.134,10.0.0.134,223,0,60,6,False,False,False,40,512,,,,,1722052026.041306854
238,10.0.0.134,10.0.0.134,224,0,60,6,False,False,False,40,512,,,,,1722052027.041887799
239,10.0.0.134,10.0.0.134,225,0,60,6,False,False,False,40,512,,,,,1722052028.042630064
240,10.0.0.134,10.0.0.134,226,0,60,6,False,False,False,40,512,,,,,1722052029.043709593
241,10.0.0.134,10.0.0.134,227,0,60,6,False,False,False,40,512,,,,,1722052030.046117461
242,10.0.0.134,10.0.0.134,228,0,60,6,False,False,False,40,512,,,,,1722052031.046983655
243,10.0.0.134,10.0.0.134,229,0,60,6,False,False,False,40,512,,,,,1722052032.047995420
244,10.0.0.134,10.0.0.134,230,0,60,6,False,False,False,40,512,,,,,1722052033.048823457
245,10.0.0.134,10.0.0.134,231,0,60,6,False,False,False,40,512,,,,,1722052034.049677526
